Pclass,Age,Fare,Family_size,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Embarked_nan,Family_type_large,Family_type_small
1,1.253641060462344,-0.0786835820286229,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
2,-0.4772835541179979,-0.3771449401344324,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,0.2150862917141388,-0.4748669654497216,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.2464936055072857,-0.476230259911263,0.0400963469882312,0,1,0.0,0.0,1.0,0.0,False,True
3,-1.785093262912034,-0.0252493711419377,3.013908748615384,1,0,0.0,0.0,1.0,0.0,True,False
1,-0.4003535712477605,4.138687090321111,0.0400963469882312,0,1,1.0,0.0,0.0,0.0,False,True
1,1.2151760690272253,-0.1162319464354828,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
2,-0.0157036568965734,-0.0936875233341743,0.0400963469882312,0,1,1.0,0.0,0.0,0.0,False,True
3,-0.0926336397668108,-0.4754292281372499,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,-0.0926336397668108,0.0561054184062586,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
2,0.984386120416513,-0.3771449401344324,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
3,0.5228062231950885,-0.1624453180131566,0.6348588273136618,0,1,0.0,0.0,1.0,0.0,False,True
2,0.2920162745843762,-0.391105229465188,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.9388634513394224,-0.4916347171038209,0.0400963469882312,0,1,0.0,0.0,1.0,0.0,False,True
3,-0.0157036568965734,-0.4445394403518732,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
2,1.5998259833784123,-0.1268225107553664,0.0400963469882312,1,0,0.0,0.0,1.0,0.0,False,True
1,0.445876240324851,1.105534064649266,0.0400963469882312,1,0,0.0,0.0,1.0,0.0,False,True
1,0.6766661889355633,3.753656533907424,-0.5546661333371994,1,0,1.0,0.0,0.0,0.0,False,False
2,0.3689462574546136,-0.3771449401344324,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,-0.9388634513394224,0.4701002054562524,0.0400963469882312,1,0,0.0,0.0,1.0,0.0,False,True
3,-1.400443348560847,-0.0252493711419377,3.013908748615384,1,0,0.0,0.0,1.0,0.0,True,False
3,2.446055794951024,-0.5073607423402734,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,0.0612263259736639,-0.4606659814753323,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
2,-1.7081632800417963,-0.1220086178826921,0.6348588273136618,1,0,0.0,0.0,1.0,0.0,False,True
3,2.599915760691499,-0.4428545778464372,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
3,-0.7080735027287102,-0.4882649920929489,-0.5546661333371994,0,1,1.0,0.0,0.0,0.0,False,False
3,-0.0926336397668108,-0.1969455254530391,0.6348588273136618,1,0,1.0,0.0,0.0,0.0,False,True
3,-0.0157036568965734,-0.4448610083957678,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,0.5228062231950885,1.6832012093701876,1.2296213076390925,0,1,0.0,0.0,1.0,0.0,False,True
3,-0.0926336397668108,-0.3490645402295484,-0.5546661333371994,0,1,1.0,0.0,0.0,0.0,False,False
3,1.5998259833784123,-0.4724600190133844,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,-0.1695636226370482,3.445086000768998,0.6348588273136618,0,1,1.0,0.0,0.0,0.0,False,True
3,0.0612263259736639,-0.4878644762059423,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,0.2920162745843762,1.105534064649266,0.0400963469882312,1,0,0.0,1.0,0.0,0.0,False,True
3,-0.0926336397668108,-0.478718079747861,-0.5546661333371994,0,1,0.0,1.0,0.0,0.0,False,False
3,-0.0926336397668108,-0.1370915070313553,1.8243837879645228,1,0,0.0,0.0,1.0,0.0,True,False
3,-2.0928131943929835,-0.221656200347051,1.8243837879645228,0,1,0.0,0.0,1.0,0.0,True,False
2,-0.3234235883775231,-0.0498002247925769,0.6348588273136618,1,0,0.0,0.0,1.0,0.0,False,True
1,1.6767559662486498,0.5544242041283143,0.0400963469882312,0,1,1.0,0.0,0.0,0.0,False,True
2,-0.3234235883775231,-0.1268225107553664,0.0400963469882312,1,0,0.0,0.0,1.0,0.0,False,True
3,-0.0926336397668108,-0.4878644762059423,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.0926336397668108,-0.4754292281372499,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
2,-0.4003535712477605,-0.3771449401344324,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
3,-0.8619334684691851,-0.2382641307577775,0.6348588273136618,0,1,0.0,0.0,1.0,0.0,False,True
1,-0.0926336397668108,-0.0401724390472282,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.3234235883775231,-0.4917155905040818,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
2,-0.4003535712477605,-0.3482615828983863,0.6348588273136618,1,0,0.0,0.0,1.0,0.0,False,True
3,-0.5542135369882354,-0.4826500674462615,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,-2.17589757589284,2.2907144899016902,1.2296213076390925,0,1,0.0,0.0,1.0,0.0,False,True
2,-0.4003535712477605,-0.1268225107553664,0.0400963469882312,1,0,0.0,0.0,1.0,0.0,False,True
3,-0.2464936055072857,-0.4748669654497216,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
2,0.3689462574546136,-0.2231003682088533,0.0400963469882312,0,1,0.0,0.0,1.0,0.0,False,True
1,-0.6311435198584728,4.424713200358228,1.8243837879645228,1,0,1.0,0.0,0.0,0.0,True,False
3,-0.0926336397668108,-0.4782366904605936,-0.5546661333371994,0,1,0.0,1.0,0.0,0.0,False,False
3,-0.0926336397668108,-0.4882649920929489,-0.5546661333371994,1,0,1.0,0.0,0.0,0.0,False,False
3,-0.0926336397668108,-0.4606659814753323,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.5542135369882354,-0.4777553011733262,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
1,2.522985777821261,0.9129783497422922,-0.5546661333371994,1,0,0.0,0.0,0.0,1.0,False,False
3,-0.8619334684691851,-0.4379598115735019,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
1,0.984386120416513,3.753656533907424,-0.5546661333371994,1,0,1.0,0.0,0.0,0.0,False,False
2,2.138335863470074,-0.3896610616033856,-0.5546661333371994,0,1,0.0,1.0,0.0,0.0,False,False
3,-0.7850034855989476,-0.6274673695134984,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
2,0.984386120416513,-0.1268225107553664,0.0400963469882312,1,0,0.0,0.0,1.0,0.0,False,True
3,-0.0926336397668108,-0.4883458654932097,-0.5546661333371994,0,1,1.0,0.0,0.0,0.0,False,False
3,-0.7080735027287102,-0.4606659814753323,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
3,0.4074112488897323,-0.503509628042134,-0.5546661333371994,0,1,1.0,0.0,0.0,0.0,False,False
3,-0.0926336397668108,-0.4445394403518732,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.0926336397668108,-0.4724600190133844,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.4772835541179979,-0.4754292281372499,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.5542135369882354,-0.4878644762059423,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,1.7536859491188872,-0.0401724390472282,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,0.0612263259736639,-0.3872541151670485,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
2,0.5612712146302072,-0.1268225107553664,0.6348588273136618,0,1,0.0,0.0,1.0,0.0,False,True
3,-0.0926336397668108,-0.4782366904605936,-0.5546661333371994,0,1,0.0,1.0,0.0,0.0,False,False
3,-0.5542135369882354,-0.4882649920929489,-0.5546661333371994,0,1,1.0,0.0,0.0,0.0,False,False
1,1.5998259833784123,1.946039760218207,0.6348588273136618,0,1,0.0,0.0,1.0,0.0,False,True
3,-0.1695636226370482,-0.4931597583658841,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.5542135369882354,-0.4724600190133844,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,1.6767559662486498,0.8736642494297352,0.0400963469882312,1,0,0.0,0.0,1.0,0.0,False,True
2,0.5228062231950885,-0.4252838688611758,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
2,-0.0157036568965734,-0.1268225107553664,0.0400963469882312,1,0,0.0,0.0,1.0,0.0,False,True
1,-0.5542135369882354,2.2907144899016902,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
1,1.5998259833784123,1.4218068263839705,0.0400963469882312,0,1,1.0,0.0,0.0,0.0,False,True
2,0.8305261546760382,-0.3771449401344324,-0.5546661333371994,1,0,0.0,0.0,1.0,0.0,False,False
3,-0.1695636226370482,-0.4606659814753323,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,-0.0926336397668108,-0.6274673695134984,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
1,2.7537757264319738,-0.1162319464354828,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
3,-0.9388634513394224,-0.4606659814753323,-0.5546661333371994,0,1,0.0,0.0,1.0,0.0,False,False
